asset,date,open,high,low,close,volume
MGC,2025-04-21,3516.787257,3521.628337,3516.787257,3520.907325,7
MGC,2025-04-22,3528.220446,3528.735455,3461.887348,3466.625426,24
MGC,2025-04-23,3356.928609,3372.172861,3352.293532,3372.06986,6
MGC,2025-04-24,3407.914453,3424.188723,3402.970372,3424.188723,6
MGC,2025-04-25,3366.095761,3400.292327,3366.095761,3400.292327,6
MGC,2025-04-28,3379.976533,3433.879747,3365.888192,3425.100056,126613
MGC,2025-04-29,3396.719197,3410.501269,3378.241012,3397.127555,95270
MGC,2025-04-30,3383.447573,3399.883969,3362.621331,3368.542517,110951
MGC,2025-05-01,3302.694841,3316.681092,3279.520543,3315.762287,116295
MGC,2025-05-02,3333.423757,3341.59091,3296.977834,3315.047661,133755
MGC,2025-05-05,3397.127555,3416.728724,3383.141305,3413.666041,93905
MGC,2025-05-06,3476.451035,3516.367998,3457.564492,3513.509494,119010
MGC,2025-05-07,3464.812841,3477.778197,3441.434364,3442.965705,116246
MGC,2025-05-08,3437.248697,3446.232566,3362.212973,3379.466085,154832
MGC,2025-05-09,3414.380667,3423.058268,3394.064873,3398.760986,96358
MGC,2025-05-12,3309.636922,3320.968847,3290.64829,3309.636922,99014
MGC,2025-05-13,3316.783181,3330.361074,3296.875744,3322.602278,89756
MGC,2025-05-14,3256.856691,3269.41369,3237.561791,3247.566554,106268
MGC,2025-05-15,3262.063252,3312.597515,3256.958781,3311.474531,115735
MGC,2025-05-16,3243.789246,3275.641145,3234.703287,3272.680552,102533
MGC,2025-05-19,3302.388573,3311.168263,3286.258445,3299.632159,95567
MGC,2025-05-20,3307.186776,3367.317444,3306.676329,3361.294169,124867
MGC,2025-05-21,3375.790866,3396.617108,3366.194461,3385.999808,98145
MGC,2025-05-22,3380.180711,3382.630857,3346.287024,3363.744315,109938
MGC,2025-05-23,3421.629016,3436.942429,3405.805156,3427.856471,105326
MGC,2025-05-26,3407.642765,3413.563952,3404.273815,3412.236789,21112
MGC,2025-05-27,3364.152672,3375.995045,3352.004031,3369.155054,60282
MGC,2025-05-28,3373.136541,3377.322208,3342.407626,3353.127015,41948
MGC,2025-05-29,3386.408166,3398.965165,3372.013558,3382.937126,2527
MGC,2025-05-30,3361.804616,3366.704908,3340.365837,3361.804616,85
MGC,2025-06-02,3424.38543,3451.337037,3424.38543,3451.337037,60
MGC,2025-06-03,3410.29709,3420.097675,3400.496506,3420.097675,56
MGC,2025-06-04,3450.316143,3450.316143,3450.316143,3450.316143,1
MGC,2025-06-05,3445.109583,3445.51794,3419.383049,3427.856471,36
MGC,2025-06-06,3415.912009,3415.912009,3387.42906,3398.250539,8
MGC,2025-06-09,3389.981296,3404.988441,3389.777117,3398.556807,23
MGC,2025-06-10,3391.818905,3401.313221,3391.818905,3395.902482,22
MGC,2025-06-11,3408.051123,3421.629016,3394.57532,3421.629016,4
MGC,2025-06-12,3461.852248,3464.608662,3453.378826,3453.378826,14
MGC,2025-06-13,3461.852248,3464.608662,3453.378826,3453.378826,0
MGC,2025-06-16,3459.095833,3467.875524,3459.095833,3467.467166,8
MGC,2025-06-17,3455.624793,3459.402102,3455.522704,3459.402102,8
MGC,2025-06-18,3457.666581,3459.60628,3457.360313,3457.360313,4
MGC,2025-06-19,3435.717356,3435.717356,3435.717356,3435.717356,1
MGC,2025-06-20,3439.800933,3440.005112,3434.696462,3434.696462,20
MGC,2025-06-23,3456.645687,3456.645687,3456.23733,3456.23733,2
MGC,2025-06-24,3379.466085,3385.591451,3379.466085,3385.591451,8
MGC,2025-06-25,3382.018321,3401.823668,3382.018321,3401.823668,10
MGC,2025-06-26,3387.390642,3404.872899,3377.023257,3396.335053,73199
MGC,2025-06-27,3321.019049,3349.173614,3320.10428,3339.619357,87936
MGC,2025-06-30,3348.462127,3376.31177,3343.278435,3369.40018,67794
MGC,2025-07-01,3416.561618,3422.050234,3402.94172,3404.669617,64270
MGC,2025-07-02,3410.666438,3426.014234,3399.181002,3423.67649,53679
MGC,2025-07-03,3397.351463,3403.653207,3387.289001,3390.744796,51048
MGC,2025-07-04,3398.672797,3403.043361,3395.521925,3401.315463,15260
MGC,2025-07-07,3375.701924,3405.076181,3369.705103,3401.518745,64291
MGC,2025-07-08,3389.626745,3391.049719,3349.68182,3364.927974,109473
MGC,2025-07-09,3358.524589,3380.27577,3353.849102,3376.819975,66401
MGC,2025-07-10,3388.305411,3392.167771,3373.465821,3387.593924,60578
MGC,2025-07-11,3420.322336,3437.093106,3417.273105,3425.912593,75383
MGC,2025-07-14,3418.69608,3422.253516,3403.348284,3407.109002,59183
MGC,2025-07-15,3403.449925,3415.545208,3381.902026,3385.154539,89902
MGC,2025-07-16,3396.436694,3441.260389,3380.580693,3409.446746,169174
MGC,2025-07-17,3377.023257,3401.518745,3373.160898,3400.299053,57153
MGC,2025-07-18,3419.71249,3421.338746,3408.227053,3410.666438,46027
MGC,2025-07-21,3451.526133,3473.074031,3448.375261,3466.365723,72835
MGC,2025-07-22,3483.441416,3504.074546,3471.854339,3500.720392,87707
MGC,2025-07-23,3474.598647,3486.287365,3446.240799,3453.25403,102278
MGC,2025-07-24,3417.882951,3436.686542,3415.138644,3426.62408,63898
MGC,2025-07-25,3397.961309,3403.653207,3379.970847,3393.184181,82741
MGC,2025-07-28,3382.308591,3383.121719,3354.255666,3368.891974,73811
MGC,2025-07-29,3373.872385,3387.085719,3364.216487,3379.869206,17578
MGC,2025-07-30,3356.390128,3359.642641,3320.10428,3325.694536,2797
MGC,2025-07-31,3355.170435,3355.272076,3340.940691,3340.940691,62
MGC,2025-08-01,3409.141823,3417.273105,3396.131771,3417.273105,24
MGC,2025-08-04,3409.141823,3417.273105,3396.131771,3417.273105,0
MGC,2025-08-05,3428.148696,3439.024286,3428.148696,3439.024286,16
MGC,2025-08-06,3428.148696,3439.024286,3428.148696,3439.024286,0
MGC,2025-08-07,3443.699773,3476.123262,3441.768594,3474.700288,13
MGC,2025-08-08,3494.418648,3494.926853,3457.319671,3457.319671,6
MGC,2025-08-11,3417.78131,3417.78131,3409.040182,3411.479566,8
MGC,2025-08-12,3417.78131,3417.78131,3409.040182,3411.479566,0
MGC,2025-08-13,3417.78131,3417.78131,3409.040182,3411.479566,0
MGC,2025-08-14,3417.78131,3417.78131,3409.040182,3411.479566,0
MGC,2025-08-15,3396.639976,3396.639976,3390.033309,3391.659565,6
MGC,2025-08-18,3396.639976,3396.639976,3390.033309,3391.659565,0
MGC,2025-08-19,3372.754334,3372.754334,3372.754334,3372.754334,1
MGC,2025-08-20,3372.754334,3372.754334,3372.754334,3372.754334,0
MGC,2025-08-21,3400.807258,3400.807258,3400.807258,3400.807258,2
MGC,2025-08-22,3417.171464,3417.171464,3417.171464,3417.171464,2
MGC,2025-08-25,3430.181516,3430.384798,3427.233926,3427.233926,7
MGC,2025-08-26,3436.889824,3436.991465,3436.889824,3436.991465,2
MGC,2025-08-27,3424.612257,3446.25071,3417.365892,3445.74749,5142
MGC,2025-08-28,3455.811887,3472.418142,3451.484196,3470.405262,4818
MGC,2025-08-29,3469.700754,3511.870577,3469.60011,3510.260273,11486
MGC,2025-09-01,3541.963123,3543.573426,3536.025129,3539.950243,1780
MGC,2025-09-02,3543.67407,3596.310865,3536.025129,3593.190902,8579
MGC,2025-09-03,3621.169924,3634.857504,3606.878481,3613.621627,7849
MGC,2025-09-04,3606.375261,3611.105528,3585.139384,3595.606357,5854
MGC,2025-09-05,3629.322086,3649.450879,3620.666705,3633.951708,6766
MGC,2025-09-08,3659.313988,3680.147289,3654.684365,3671.995128,5580
MGC,2025-09-09,3695.445172,3709.635971,3657.904972,3658.408192,8853
MGC,2025-09-10,3681.556304,3690.010398,3669.378385,3675.316379,4714
MGC,2025-09-11,3654.483077,3675.417023,3650.155387,3668.170657,3672
MGC,2025-09-12,3680.348577,3686.991079,3673.706075,3675.215735,2889
MGC,2025-09-15,3685.380775,3718.99586,3684.47498,3712.856578,5209
MGC,2025-09-16,3725.83965,3734.092455,3709.132751,3722.015179,4270
MGC,2025-09-17,3706.516008,3738.01757,3673.806719,3688.400094,8226
MGC,2025-09-18,3681.053085,3681.053085,3654.583721,3671.79384,4372
MGC,2025-09-19,3682.96532,3713.359798,3680.348577,3713.259154,4843
MGC,2025-09-22,3751.805793,3777.268717,3741.036889,3774.55133,3355
MGC,2025-09-23,3809.978006,3814.808916,3776.866141,3789.044061,4684
MGC,2025-09-24,3792.868532,3792.868532,3741.036889,3760.159243,4276
MGC,2025-09-25,3764.889509,3781.093188,3743.955564,3772.437806,2704
MGC,2025-09-26,3779.583528,3805.046452,3773.54489,3780.690612,2651
MGC,2025-09-29,3842.284719,3851.94654,3840.171196,3851.644608,820
MGC,2025-09-30,3866.942491,3880.227495,3865.936052,3880.227495,10
MGC,2025-10-01,3900.155,3900.155,3900.155,3900.155,2
MGC,2025-10-02,3864.929612,3864.929612,3845.002107,3864.527036,20
MGC,2025-10-03,3864.929612,3864.929612,3845.002107,3864.527036,0
MGC,2025-10-06,3864.929612,3864.929612,3845.002107,3864.527036,0
MGC,2025-10-07,4000.295747,4002.006695,4000.295747,4001.704763,4
MGC,2025-10-08,4064.506598,4074.067775,4054.744133,4054.744133,6
MGC,2025-10-09,4035.823068,4035.823068,3980.166954,3980.166954,8
MGC,2025-10-10,3998.282868,3998.282868,3998.282868,3998.282868,1
MGC,2025-10-13,4116.338241,4116.338241,4116.338241,4116.338241,1
MGC,2025-10-14,4116.338241,4116.338241,4116.338241,4116.338241,0
MGC,2025-10-15,4116.338241,4116.338241,4116.338241,4116.338241,0
MGC,2025-10-16,4337.55368,4341.176863,4337.453036,4338.962695,15
MGC,2025-10-17,4297.497381,4297.497381,4227.046604,4243.552215,18
MGC,2025-10-20,4365.230771,4368.552022,4365.230771,4368.552022,2
MGC,2025-10-21,4176.724621,4176.724621,4141.197301,4143.411468,5
MGC,2025-10-22,4034.61534,4034.61534,4034.61534,4034.61534,1
MGC,2025-10-23,4034.61534,4034.61534,4034.61534,4034.61534,0
MGC,2025-10-24,4034.61534,4034.61534,4034.61534,4034.61534,0
MGC,2025-10-27,4036.829507,4036.829507,4019.518745,4019.518745,6
MGC,2025-10-28,3991.23779,3991.23779,3991.23779,3991.23779,1
MGC,2025-10-29,4056.626689,4061.153613,3963.673854,3965.182829,351260
MGC,2025-10-30,4004.91916,4065.47934,3997.77668,4062.964382,239764
MGC,2025-10-31,4062.561989,4065.278143,4006.327536,4037.311814,262084
MGC,2025-11-03,4045.86267,4067.591904,4030.169335,4037.412413,192713
MGC,2025-11-04,3984.598302,4010.049673,3960.454709,3964.780436,210237
MGC,2025-11-05,4017.192153,4024.636428,3997.072492,4014.274802,132248
MGC,2025-11-06,4024.234035,4035.501045,3996.971894,4008.540699,173517
MGC,2025-11-07,4031.778908,4059.946433,4014.97899,4031.678309,180174
MGC,2025-11-10,4118.595246,4148.875336,4106.925842,4147.668156,160228
MGC,2025-11-11,4160.947132,4165.675253,4127.347298,4157.828585,170679
MGC,2025-11-12,4162.757902,4243.739538,4155.414226,4226.637826,237703
MGC,2025-11-13,4240.822187,4249.473642,4173.220126,4199.476284,247994
MGC,2025-11-14,4078.355923,4137.91012,4056.224296,4108.636013,238535
